Museum Name ,City,Type,Description,Location
Al Tayebat International City of Science and Knowledge,Mecca,Licensed private museums,"Located in the Makkah region of Jeddah Governorate, the museum contains a variety of heritage dating back to the Arabian Peninsula region, as well as Saudi culture and Islamic civilization.",https://maps.app.goo.gl/fvnMyyDupJK7P8Qz7
Yahya bin Mahfouz Saeed Asiri Museum of Archaeological Sites,Abha,Licensed private museums,"Located in Asir region of Abha, the museum includes a collection of heritage pieces that include ancient agricultural tools, pottery, weapons, as well as a collection of leather crafts that reflect the distinctive character of the region.",https://maps.app.goo.gl/bEyG6C2AYpz3KUp5A
Walid bin Abdullah bin Muhammad Al-Najem Museum for museum display,Al-Ahsa,Licensed private museums,"It is located in Al-Ahsa Governorate, in the Eastern Province, and contains a lot of men's clothes and old shoes, as well as women's clothes, ornaments and decorative tools, in addition to many old and rare locks, as well as a small shop that includes many old human supplies and needs.",https://maps.app.goo.gl/JWPdRT8cj2fns7fU9
Museum façade of authenticity for museum display,Al-Baha,Licensed private museums,"The museum is located in the Al-Baha region and contains a variety of heritage holdings, including leather and everything that humans need in the life of the desert, old agricultural and irrigation tools, clothing, ancient women's jewelry, coins, and papers.",https://maps.app.goo.gl/hz3anM1bUhbHUKsBA
Hudhail Heritage Museum,Taif,Licensed private museums,"The museum is located in Makkah Al-Mukarramah region in Taif Governorate and tells the stories of history in the ancient past, and contains heritage holdings, photographs, rare stones, weapons, and ancient shields.",https://maps.app.goo.gl/7UaCiL4LGSfDz26k6
Museum of notes of the past,Riyadh,Licensed private museums,"The museum is located in the Riyadh region of Al-Hariq Governorate and contains a corner for coffee tools and cooking utensils, a corner that includes some ornaments and jewelry, a corner of coins, paper and metal money, a corner of publications, and old books.",https://maps.app.goo.gl/ZBvff23PQ9rfwWgBA
Nasser Al-Fian Museum,Al-Baha,Licensed private museums,"The museum is located in the Al-Baha area of Al-Atawla Governorate, and was designed in a style that reflects the architectural style of the old houses of Al-Baha. The museum includes many heritage collections that reflect the life of the past in the homes of the people of Al-Baha, thus providing a window overlooking part of the history and heritage of the region.",https://maps.app.goo.gl/XaujebNmrpae9ynR9
Museum Gallery Revelation,Mecca,Licensed private museums,"The museum is located in Makkah Al-Mukarramah in the Hira Cultural District, next to the Haram, and contains the story of the revelation of the prophets to the seal of the messengers in a special wing that tells the story of the revelation of the revelation to our Prophet (may Allah's peace and blessings be upon him) and part of his biography (peace and blessings of Allah be upon him) and some of what is related to the story of the revelation of the Prophet (may Allah's peace and blessings be upon him).",https://maps.app.goo.gl/Lj9VZGtoRi4k5oNr9
South Resorts Museum for museum display,Khamis Mushayt,Licensed private museums,"The museum is located in the Asir region of Khamis Mushait Governorate, and the museum consists of several halls for coffee and all its requirements, a hall for old clothes and their accessories, a hall for weapons and their accessories, a corner for old coins, and a corner for agricultural tools and accessories.",https://maps.app.goo.gl/PNQqLeHcKmcm8iFJ9
The Hebrew Center for Heritage and Vintage Cars Museum,Al-Qassim,Licensed private museums,"The museum is located in the Qassim region of Riyadh Al-Khabra Governorate, and the display contains a collection of heritage collectibles such as weapons, coins, documents, hospitality tools, Arabic coffee, old lighting tools, agricultural tools, old audio devices, and a collection of classic old cars.",https://maps.app.goo.gl/i8AyvuN9FggGmQq17
